,word,pinyin,definition
8132,苦力,kǔ lì,"bitter work/hard toil/(loanword) coolie, unskilled Chinese laborer in colonial times"
8133,枯燥,kū zào,dry and dull/uninteresting/dry-as-dust
8134,夸大,kuā dà,to exaggerate
8135,跨越,kuà yuè,to step across/step over
8136,快捷,kuài jié,quick/fast/nimble/agile/(computer) shortcut
8137,宽敞,kuān chǎng,spacious/wide
8138,宽松,kuān sōng,spacious; roomy; uncrowded/(of clothes) loose and comfortable/relaxed; free of worry/well-off; affluent
8139,款式,kuǎn shì,elegant/elegance/good taste
8140,款项,kuǎn xiàng,funds/a sum of money/CL:宗[zong1]
8143,昆虫,kūn chóng,"insect/CL:隻|只[zhi1],群[qun2],堆[dui1]"
8144,扩张,kuò zhāng,expansion/dilation/to expand (e.g. one's power or influence)/to broaden
8145,辣椒,là jiāo,hot pepper/chili
8146,喇叭,lǎ bā,horn (automobile etc)/loudspeaker/brass wind instrument/trumpet/suona 鎖吶|锁呐[suo3 na4]
8147,来历,lái lì,history/antecedents/origin
8151,懒惰,lǎn duò,idle/lazy
8152,栏杆,lán gān,railing/banister
8153,蓝图,lán tú,blueprint
8154,滥用,làn yòng,to misuse/to abuse
8155,老化,lǎo huà,"(of a person, population or material) to age/(of knowledge) to become outdated"
8156,姥姥,lǎo lǎo,(coll.) mother's mother/maternal grandmother
8157,牢固,láo gù,firm/secure
8158,牢记,láo jì,to keep in mind/to remember
8159,牢牢,láo láo,firmly/safely
8160,劳累,láo lèi,tired/exhausted/worn out/to toil
8162,累积,lěi jī,to accumulate
8164,冷淡,lěng dàn,cold/indifferent
8165,冷笑,lěng xiào,"to sneer/to laugh grimly/grin of dissatisfaction (bitterness, helplessness, indignation etc)/bitter, grim, sarcastic or angry smile"
8166,冷战,lěng zhàn,(coll.) shiver/shudder
8167,理睬,lǐ cǎi,to heed/to pay attention to
8168,历程,lì chéng,course/process
8169,离职,lí zhí,to leave one's job temporarily (e.g. for study)/to leave one's job; to resign
8170,力度,lì dù,strength/vigor/efforts/(music) dynamics
8171,利害,lì hài,terrible/formidable/serious/devastating/tough/capable/sharp/severe/fierce
8172,历经,lì jīng,to experience; to go through
8174,黎明,lí míng,dawn; daybreak
8175,礼品,lǐ pǐn,gift/present
8176,利索,lì suǒ,nimble
8178,立体,lì tǐ,three-dimensional/solid/stereoscopic
8179,礼仪,lǐ yí,etiquette/ceremony
8181,脸颊,liǎn jiá,cheek
8182,连任,lián rèn,to continue in (a political) office/to serve for another term of office
8183,连锁,lián suǒ,to interlock/to be linked/chain (store etc)
8185,帘子,lián zi,curtain
8186,谅解,liàng jiě,to understand/to make allowances for/understanding
8188,亮点,liàng diǎn,highlight/bright spot
8189,凉爽,liáng shuǎng,cool and refreshing
8190,亮相,liàng xiàng,"to strike a pose (Chinese opera)/(fig.) to make a public appearance/to come out in public (revealing one's true personality, opinions etc)/(of a product) to appear on the market or at a trade show etc"
8191,裂痕,liè hén,crack/gap/split
8192,烈士,liè shì,martyr
8193,劣势,liè shì,inferior/disadvantaged
8194,猎犬,liè quǎn,hound; hunting dog
8195,劣质,liè zhì,shoddy; of poor quality
8196,临近,lín jìn,close to/approaching
8199,领队,lǐng duì,to lead a group/leader of a group/captain (of sports squad)
8200,领会,lǐng huì,to understand/to comprehend/to grasp
8202,零售,líng shòu,to retail/to sell individually or in small quantities
8203,灵敏,líng mǐn,smart/clever/sensitive/keen/quick/sharp
8204,灵巧,líng qiǎo,deft/nimble/ingenious
8205,领事,lǐng shì,consul
8207,领土,lǐng tǔ,territory
8208,领悟,lǐng wù,to understand/to comprehend
8209,流畅,liú chàng,"flowing (of speech, writing)/fluent/smooth and easy"
8210,流程,liú chéng,course/stream/sequence of processes/work flow in manufacturing
8211,溜达,liū dá,to stroll/to go for a walk
8212,浏览,liú lǎn,to skim over/to browse
8214,留恋,liú liàn,reluctant to leave/to hate to have to go/to recall fondly
8215,留神,liú shén,to take care/to be careful
8216,流露,liú lù,"to reveal (indirectly, implicitly)/to show (interest, contempt etc) by means of one's actions, tone of voice etc"
8217,流失,liú shī,"(of soil etc) to wash away/to be eroded/(fig.) (of talented staff, followers of a religious faith, investment funds etc) to go elsewhere/to fail to be retained"
8218,流水,liú shuǐ,running water/(business) turnover
8219,流淌,liú tǎng,to flow
8221,笼罩,lǒng zhào,to envelop/to shroud
8224,绿灯,lǜ dēng,green light (traffic signal)/(fig.) permission to proceed
8225,路灯,lù dēng,street lamp/street light
8226,路面,lù miàn,road surface
8227,路人,lù rén,passer-by/stranger
8228,路途,lù tú,(lit. and fig.) road/path
8229,鲁莽,lǔ mǎng,hot-headed; impulsive; reckless
8230,露天,lù tiān,outdoors/al fresco/in the open
8231,履行,lǚ xíng,to fulfill (one's obligations)/to carry out (a task)/to implement (an agreement)/to perform
8232,路子,lù zi,method/way/approach
8234,掠夺,lüè duó,to plunder/to rob
8235,轮廓,lún kuò,outline; silhouette
8236,轮流,lún liú,to alternate; to take turns
8237,论坛,lùn tán,forum (for discussion)
8238,萝卜,luó bo,"radish (Raphanus sativus), esp. white radish 白蘿蔔|白萝卜[bai2 luo2 bo5]/CL:個|个[ge4],根[gen1]"
8239,落地,luò dì,to fall to the ground/to be set on the ground/to reach to the ground/to be born/(of a plane) to land
8240,裸露,luǒ lù,naked; bare; uncovered; exposed
8241,螺丝,luó sī,screw
8242,马力,mǎ lì,horsepower
8243,麻痹,má bì,paralysis/palsy/numbness/to benumb/(fig.) to lull/negligent/apathetic
8244,麻木,má mù,numb/insensitive/apathetic
8245,马戏,mǎ xì,circus
8248,埋藏,mái cáng,to bury/to hide by burying/hidden
8249,埋伏,mái fú,to ambush/to lie in wait for/to lie low/ambush
8250,迈进,mài jìn,to step in/to stride forward/to forge ahead
8251,卖弄,mài nòng,to show off/to make a display of
8253,满怀,mǎn huái,to have one's heart filled with/(to collide) full on/(of farm animals) heavy with young
8254,慢性,màn xìng,slow and patient/chronic (disease)/slow to take effect (e.g. a slow poison)
8255,蔓延,màn yán,to extend/to spread
8256,漫游,màn yóu,to travel around/to roam/(mobile telephony) roaming
8257,埋怨,mán yuàn,to complain/to grumble (about)/to reproach/to blame
8258,忙活,máng huó,to be really busy/pressing business
8259,忙碌,máng lù,busy; bustling
8260,冒充,mào chōng,to feign/to pretend to be/to pass oneself off as
8261,冒昧,mào mèi,bold/presumptuous/to take the liberty of
8262,矛头,máo tóu,spearhead/barb/an attack or criticism
8263,美德,měi dé,virtue
8264,美化,měi huà,to make more beautiful/to decorate/embellishment
8265,美景,měi jǐng,beautiful scenery
8266,煤矿,méi kuàng,coal mine/coal seam
8267,美满,měi mǎn,happy/blissful
8268,眉毛,méi máo,eyebrow/CL:根[gen1]
8269,门路,mén lù,way of doing sth/the right social connection
8270,猛烈,měng liè,fierce; violent; vigorous; intense
8271,密度,mì dù,density/thickness
8272,密集,mì jí,concentrated/crowded together/intensive/compressed
8273,秘诀,mì jué,secret know-how/key (to longevity)/secret (of happiness)/recipe (for success)
8274,弥漫,mí màn,variant of 彌漫|弥漫[mi2 man4]
8275,谜底,mí dǐ,answer to a riddle
8276,谜团,mí tuán,riddle/enigma/unpredictable situation/elusive matters
8277,谜语,mí yǔ,riddle/conundrum/CL:條|条[tiao2]
8278,面粉,miàn fěn,flour
8279,免除,miǎn chú,to prevent/to avoid/to excuse/to exempt/to relieve/(of a debt) to remit
8280,免疫,miǎn yì,immunity (to disease)
8283,苗条,miáo tiáo,(of a woman) slim/slender/graceful
8284,渺小,miǎo xiǎo,minute/tiny/negligible/insignificant
8285,敏捷,mǐn jié,nimble/quick/shrewd
8286,敏锐,mǐn ruì,keen; sharp; acute
8288,铭记,míng jì,to engrave in one's memory
8289,明朗,míng lǎng,bright/clear/obvious/forthright/open-minded/bright and cheerful
8290,明媚,míng mèi,bright and beautiful
8291,名气,míng qì,reputation; fame
8292,名言,míng yán,saying/famous remark
8293,莫非,mò fēi,can it be possible that/could it be
8294,蘑菇,mó gū,mushroom/to pester/to dawdle
8297,摸索,mō suǒ,to feel about/to grope about/to fumble/to do things slowly
8299,磨难,mó nàn,a torment/a trial/tribulation/a cross (to bear)/well-tried
8300,默契,mò qì,tacit understanding/mutual understanding/rapport/connected at a deep level with each other/(of team members) well coordinated/tight
8301,磨损,mó sǔn,to suffer wear and tear; to deteriorate through use; to wear out
8302,谋害,móu hài,to conspire to murder/to plot against sb's life
8303,墓碑,mù bēi,gravestone/tombstone
8304,募捐,mù juān,to solicit contributions; to collect donations
8305,木材,mù cái,wood
8306,牧场,mù chǎng,pasture/grazing land/ranch
8307,木匠,mù jiàng,carpenter
8308,呐喊,nà hǎn,shout/rallying cry/cheering/to shout
8309,纳入,nà rù,to bring into/to channel into/to integrate into/to incorporate
8310,纳税,nà shuì,to pay taxes
8313,耐性,nài xìng,patience
8314,难处,nán chǔ,trouble; difficulty; problem
8315,难说,nán shuō,hard to tell (i.e. hard to judge or hard to predict)/cannot bring oneself to say it
8318,脑筋,nǎo jīn,brains/mind/head/way of thinking
8319,闹事,nào shì,to cause trouble/to create a disturbance
8320,内阁,nèi gé,(government) cabinet
8321,内涵,nèi hán,meaningful content/implication/connotation (semantics)/inner qualities (of a person)
8327,念书,niàn shū,to read/to study
8328,凝固,níng gù,to freeze/to solidify/to congeal/fig. with rapt attention
8329,凝聚,níng jù,to condense/to coagulate/coacervation (i.e. form tiny droplets)/aggregation/coherent
8332,纽带,niǔ dài,tie/link/bond
8333,纽扣,niǔ kòu,button
8334,浓缩,nóng suō,to concentrate (a liquid)/concentration/espresso coffee/abbr. for 意式濃縮咖啡|意式浓缩咖啡
8335,女婿,nǚ xù,daughter's husband; son-in-law
8336,殴打,ōu dǎ,to beat up/to come to blows/battery (law)
8337,排放,pái fàng,"to arrange in order/to emit; to discharge (exhaust gas, waste water etc)/(of animals) to ovulate; to discharge semen"
8338,徘徊,pái huái,to pace back and forth/to dither; to hesitate/(of sales figures etc) to fluctuate
8339,派遣,pài qiǎn,to send (on a mission); to dispatch
8340,排斥,pái chì,to reject/to exclude/to eliminate/to remove/to repel
8342,判处,pàn chǔ,to sentence/to condemn
8343,判定,pàn dìng,to judge/to decide/judgment/determination
8344,叛逆,pàn nì,to rebel/to revolt/a rebel
8345,盘算,pán suàn,to plot/to scheme/to calculate
8346,庞大,páng dà,huge; enormous; tremendous
8347,旁观,páng guān,spectator/non-participant
8348,泡沫,pào mò,foam/(soap) bubble/(economic) bubble
8349,佩服,pèi fú,to admire
8350,配件,pèi jiàn,component/part/fitting/accessory/replacement part
8351,配偶,pèi ǒu,spouse
8352,配音,pèi yīn,dubbing (filmmaking)
8353,陪葬,péi zàng,"to be buried with or next to dead person (of deceased's partner, or of funerary objects)"
8354,抨击,pēng jī,to attack (verbally or in writing)
8355,捧场,pěng chǎng,to cheer on (originally esp. as paid stooge)/to root for sb/to sing sb's praises/to flatter
8357,膨胀,péng zhàng,to expand/to inflate/to swell
8358,碰撞,pèng zhuàng,to collide/collision
8359,疲惫,pí bèi,beaten/exhausted/tired
8361,疲倦,pí juàn,to tire/tired
8362,疲劳,pí láo,fatigue/wearily/weariness/weary
8363,披露,pī lù,to reveal/to publish/to make public/to announce
8365,批判,pī pàn,to criticize/critique/CL:個|个[ge4]
8366,偏僻,piān pì,remote/desolate/far from the city
8367,偏向,piān xiàng,partial towards sth/to prefer/to incline/erroneous tendencies (Leftist or Revisionist deviation)
8368,偏远,piān yuǎn,remote/far from civilization
8369,票房,piào fáng,box office
8371,拼搏,pīn bó,to struggle/to wrestle
8373,聘用,pìn yòng,to employ/to hire
8374,平和,píng hé,gentle/mild/moderate/placid
8375,凭借,píng jiè,to rely on/to depend on/by means of/thanks to/sth that one relies on
8377,平淡,píng dàn,flat/dull/ordinary/nothing special
8378,平面,píng miàn,plane (flat surface)/print media
8379,凭着,píng zhe,relying on/on the basis of
8380,破旧,pò jiù,shabby
8381,破灭,pò miè,"to be shattered/to be annihilated (of hope, illusions etc)"
8384,瀑布,pù bù,waterfall
8385,起步,qǐ bù,to set out/to set in motion/the start (of some activity)
8386,器材,qì cái,equipment/material
8387,起草,qǐ cǎo,to make a draft/to draw up (plans)
8388,起伏,qǐ fú,to move up and down/to undulate/ups and downs
8390,棋子,qí zi,"chess piece/CL:個|个[ge4],顆|颗[ke1]/(fig.) a pawn (used by others for their own purposes)"
8392,气泡,qì pào,bubble/blister (in metal)/(of beverages) sparkling/carbonated
8393,气愤,qì fèn,indignant/furious
8394,乞丐,qǐ gài,beggar
8395,气管,qì guǎn,windpipe/trachea/respiratory tract/air duct/gas pipe
8396,乞求,qǐ qiú,to beg
8397,气势,qì shì,imposing manner/loftiness/grandeur/energetic looks/vigor
8398,乞讨,qǐ tǎo,to beg/to go begging
8399,启示,qǐ shì,to reveal/to enlighten/enlightenment/revelation/illumination/moral (of a story etc)/lesson
8400,器械,qì xiè,apparatus/instrument/equipment/weapon
8402,起源,qǐ yuán,origin/to originate/to come from
8403,契约,qì yuē,agreement/contract
8404,欺诈,qī zhà,to cheat
8405,旗帜,qí zhì,ensign/flag
8408,恰巧,qià qiǎo,by chance; as chance would have it
8411,钱财,qián cái,wealth/money
8412,牵挂,qiān guà,to worry about/to be concerned about
8413,前辈,qián bèi,senior/older generation/precursor
8414,前夕,qián xī,eve/the day before
8415,前者,qián zhě,the former
8416,迁就,qiān jiù,to yield to; to adapt to; to accommodate oneself to (sth)
8417,潜能,qián néng,potential/hidden capability
8418,前期,qián qī,preceding period/early stage
8419,欠缺,qiàn quē,to be deficient in/lapse/deficiency
8420,潜艇,qián tǐng,submarine
8421,谴责,qiǎn zé,to denounce/to condemn/to criticize/condemnation/criticism
8422,牵制,qiān zhì,to control/to curb/to restrict/to impede/to pin down (enemy troops)
8423,钳子,qián zi,pliers/pincers/tongs/forceps/vise/clamp/claw (of a crab etc)/CL:把[ba3]/(dialect) earring
8424,枪毙,qiāng bì,to execute by firing squad/to shoot dead/fig. to discard/to get rid of
8425,抢夺,qiǎng duó,to plunder/to pillage/to forcibly take
8426,强加,qiáng jiā,to impose/to force upon
8427,强劲,qiáng jìng,strong/powerful/robust
8430,强项,qiáng xiàng,key strength/strong suit/specialty
8431,抢眼,qiǎng yǎn,eye-catching
8433,窍门,qiào mén,a trick/an ingenious method/know-how/the knack (of doing sth)
8434,敲诈,qiāo zhà,to rip off/to extort (money)/extortion/blackmail
8435,切割,qiē gē,to cut
8436,窃取,qiè qǔ,"to steal (usu. private information, intellectual property etc)"
8437,钦佩,qīn pèi,to admire/to look up to/to respect sb greatly
8438,勤劳,qín láo,hardworking/industrious/diligent
8439,侵害,qīn hài,to encroach on/to infringe on
8440,寝室,qǐn shì,bedroom/dormitory/CL:間|间[jian1]
8441,亲友,qīn yǒu,friends and relatives
8442,侵占,qīn zhàn,to invade and occupy (territory)
8443,情调,qíng diào,sentiment/tone and mood/taste
8444,庆贺,qìng hè,to congratulate/to celebrate
8445,请柬,qǐng jiǎn,invitation card/written invitation
8446,情结,qíng jié,complex (psychology)
8447,清静,qīng jìng,quiet/peaceful and quiet
8449,倾斜,qīng xié,to incline/to lean/to slant/to slope/to tilt
8450,情谊,qíng yì,friendship; camaraderie
8451,去处,qù chù,place/destination
8452,驱动,qū dòng,to drive/to propel/drive (vehicle wheel)/drive mechanism (tape or disk)/device driver (computing software)
8453,屈服,qū fú,to surrender/to succumb/to yield/(as a transitive verb) to defeat/to prevail over
8454,去除,qù chú,to remove/to dislodge
8456,取暖,qǔ nuǎn,to warm oneself (by a fire etc)
8457,取胜,qǔ shèng,to score a victory/to prevail over one's opponents
8458,去向,qù xiàng,direction in which sb or sth has gone; whereabouts
8459,趣味,qù wèi,fun; interest; delight/taste; liking; preference
8460,曲折,qū zhé,winding/(fig.) complicated
8461,全程,quán chéng,the whole distance/from beginning to end
8463,劝告,quàn gào,to advise/to urge/to exhort/exhortation/advice/CL:席[xi2]
8464,权衡,quán héng,to consider/to weigh (a matter)/to balance (pros and cons)
8465,全局,quán jú,overall situation
8467,全能,quán néng,omnipotent/all-round/strong in every area
8468,劝说,quàn shuō,to persuade/persuasion/to advise
8470,权益,quán yì,rights/interests/rights and benefits
8471,缺口,quē kǒu,nick/jag/gap/shortfall
8472,缺失,quē shī,lack; deficiency/shortcoming; flaw; defect/to be deficient; to lack
8473,确凿,què záo,definite/conclusive/undeniable/authentic/also pr. [que4 zuo4]
8474,确诊,què zhěn,to make a definite diagnosis/confirmed (case of a specific disease)
8475,燃油,rán yóu,fuel oil
8477,饶恕,ráo shù,to forgive/to pardon/to spare
8478,热潮,rè cháo,upsurge/popular craze
8480,热衷,rè zhōng,to feel strongly about/to be fond of/obsession/deep commitment
8481,人道,rén dào,"human sympathy/humanitarianism/humane/the ""human way"", one of the stages in the cycle of reincarnation (Buddhism)/sexual intercourse"
8483,人品,rén pǐn,character; moral strength; integrity/(coll.) looks; appearance; bearing
8484,任期,rèn qī,term of office/CL:屆|届[jie4]/tenure (entire period in office)
8485,人气,rén qì,popularity/personality/character
8486,忍心,rěn xīn,to have the heart to do sth/to steel oneself to a task
8487,人事,rén shì,personnel/human resources/human affairs/ways of the world/(euphemism) sexuality/the facts of life
8488,人为,rén wéi,artificial/man-made/having human cause or origin/human attempt or effort
8489,认证,rèn zhèng,to authenticate/to approve
8490,任职,rèn zhí,to hold a post; to take office
8491,认知,rèn zhī,cognition/cognitive/understanding/perception/awareness/to be cognizant of/to recognize/to realize
8493,日后,rì hòu,sometime/someday (in the future)
8494,日益,rì yì,day by day/more and more/increasingly/more and more with each passing day
8496,融洽,róng qià,harmonious/friendly relations/on good terms with one another
8497,容许,róng xǔ,to permit/to allow
8498,容纳,róng nà,to hold/to contain/to accommodate/to tolerate (different opinions)
8500,柔和,róu hé,gentle/soft
8501,入场,rù chǎng,"to enter the venue for a meeting/to enter into an examination/to enter a stadium, arena etc"
8503,入境,rù jìng,to enter a country
8504,如实,rú shí,as things really are/realistic
8505,入手,rù shǒu,"to begin (with ...) (typically used in a structure such as 從|从[cong2] + {noun} + 入手[ru4 shou3]: ""to begin with {noun}; to take {noun} as one's starting point"")/to receive; to obtain; to buy"
8506,入选,rù xuǎn,to be included among those selected for
8507,如意,rú yì,"as one wants; according to one's wishes/ruyi scepter, a symbol of power and good fortune"
8510,若干,ruò gān,a certain number or amount/how many?/how much?
8511,赛跑,sài pǎo,race (running)/to race (running)
8512,三维,sān wéi,three-dimensional/3D
8513,桑拿,sāng ná,sauna (loanword)
8514,嗓子,sǎng zi,throat/voice/CL:把[ba3]
8515,骚乱,sāo luàn,disturbance; riot/to create a disturbance
8517,筛选,shāi xuǎn,to filter
8518,煽动,shān dòng,to incite/to instigate
8519,闪烁,shǎn shuò,flickering/twinkling/evasive/vague (of speech)
8520,上流,shàng liú,upper class
8521,上任,shàng rèn,to take office/previous (incumbent)/predecessor
8522,伤势,shāng shì,condition of an injury
8523,上述,shàng shù,aforementioned/above-mentioned
8524,商讨,shāng tǎo,to discuss/to deliberate
8525,上映,shàng yìng,to screen; to show (a movie)
8526,上游,shàng yóu,upper reaches (of a river)/upper level/upper echelon/upstream
8527,少量,shǎo liàng,a smidgen/a little bit/a few
8528,稍稍,shāo shāo,somewhat/a little/slightly
8529,稍候,shāo hòu,to wait a moment
8531,奢侈,shē chǐ,luxurious/extravagant
8533,奢望,shē wàng,an extravagant hope/to have excessive expectations
8535,深奥,shēn ào,profound/abstruse/recondite/profoundly
8537,审核,shěn hé,to audit/to investigate thoroughly
8538,身价,shēn jià,"social status/price of a slave/price of a person (a sportsman etc)/worth/value (of stocks, valuables etc)"
8539,身心,shēn xīn,body and mind/mental and physical
8540,身影,shēn yǐng,silhouette/figure
8541,深切,shēn qiè,deeply felt/heartfelt/sincere/honest
8542,深情,shēn qíng,deep emotion/deep feeling/deep love
8543,神仙,shén xiān,"Daoist immortal/supernatural entity/(in modern fiction) fairy, elf, leprechaun etc/fig. lighthearted person"
8544,审视,shěn shì,to look closely at/to examine
8545,深受,shēn shòu,to receive in no small measure
8546,渗透,shèn tòu,"(lit. and fig.) to permeate/to seep into/(of a product, idea etc) to penetrate (in a population)/(of hostile forces) to infiltrate/(chemistry) osmosis"
8547,深信,shēn xìn,to believe firmly
8548,深远,shēn yuǎn,far-reaching/profound and long-lasting
8549,伸张,shēn zhāng,to uphold (e.g. justice or virtue)/to promote
8550,慎重,shèn zhòng,cautious/careful/prudent
8552,盛会,shèng huì,pageant/distinguished meeting
8553,盛开,shèng kāi,blooming/in full flower
8554,牲畜,shēng chù,domesticated animals/livestock
8555,生机,shēng jī,opportunity to live/to reprieve from death/life force/vitality
8556,省略,shěng lüè,to leave out/an omission
8557,生平,shēng píng,life (a person's whole life)/in one's entire life
8558,声望,shēng wàng,popularity/prestige
8559,生态,shēng tài,ecology
8560,视察,shì chá,to inspect/an investigation
8561,实地,shí dì,on-site
8562,时段,shí duàn,time interval/work shift/time slot/the twelve two-hour divisions of the day
8563,世故,shì gù,sophisticated/worldly-wise
8564,嗜好,shì hào,hobby/indulgence/habit/addiction
8565,使唤,shǐ huàn,"to order sb around/(coll.) to handle (a draught animal, tool, machine etc)/Taiwan pr. [shi3 huan4]"
8566,视角,shì jiǎo,angle from which one observes an object/(fig.) perspective; viewpoint; frame of reference/(cinematography) camera angle/(visual perception) visual angle (the angle a viewed object subtends at the eye)/(photography) angle of view
8568,实况,shí kuàng,live (e.g. broadcast or recording)/what is actually happening/scene/the real situation
8569,适宜,shì yí,suitable/appropriate
8570,士气,shì qì,morale
8571,示威,shì wēi,to demonstrate (as a protest)/a demonstration/a military show of force
8572,示意,shì yì,to hint/to indicate (an idea to sb)
8573,试探,shì tàn,to sound out/to probe/to feel out/to try out
8574,实体,shí tǐ,"entity/substance/thing that has a material existence (as opposed to a conceptual, virtual or online existence)/the real thing (as opposed to an image or model of it)"
8575,势头,shì tóu,power/momentum/tendency/impetus/situation/the look of things
8577,失利,shī lì,to lose/to suffer defeat
8578,失恋,shī liàn,to lose one's love/to break up (in a romantic relationship)/to feel jilted
8579,失灵,shī líng,out of order (of machine)/not working properly/a failing (of a system)
8580,失眠,shī mián,to suffer from insomnia
8581,施工,shī gōng,construction/to carry out construction or large-scale repairs
8582,施加,shī jiā,to exert (effort or pressure)
8583,施压,shī yā,to pressure
8584,食用,shí yòng,to eat; to consume/edible
8585,试用,shì yòng,to try sth out/to be on probation
8586,实质,shí zhì,substance/essence
8587,事迹,shì jì,deed/past achievement/important event of the past
8589,事项,shì xiàng,matter/item
8590,事宜,shì yí,matters/arrangements
8591,受害,shòu hài,"to suffer damage, injury etc/damaged/injured/killed/robbed"
8592,受贿,shòu huì,to accept a bribe
8593,受惊,shòu jīng,startled
8594,受理,shòu lǐ,to accept to hear a case/to handle (a service)
8595,受骗,shòu piàn,to be cheated/to be taken in/to be hoodwinked
8596,手动,shǒu dòng,manual/manually operated/manual gear-change
8597,首府,shǒu fǔ,capital city of an autonomous region
8598,收敛,shōu liǎn,"to dwindle; to vanish; to make vanish/to exercise restraint; to curb (one's mirth, arrogance etc)/to astringe/(math.) to converge"
8599,寿命,shòu mìng,life span/life expectancy/lifetime (of a machine)
8600,手帕,shǒu pà,handkerchief/CL:方[fang1]
8601,守候,shǒu hòu,to wait for/to expect/to keep watch/to watch over/to nurse
8602,收缩,shōu suō,to pull back/to shrink/to contract/(physiology) systole
8603,手艺,shǒu yì,craftmanship/workmanship/handicraft/trade
8604,手掌,shǒu zhǎng,palm
8607,数额,shù é,amount/sum of money/fixed number
8608,束缚,shù fù,to bind; to tie up; to fetter; to shackle
8609,疏忽,shū hū,to neglect/to overlook/negligence/carelessness
8610,书籍,shū jí,books/works
8611,输家,shū jiā,loser (as opposed to winner 贏家|赢家[ying2 jia1])
8612,梳理,shū lǐ,to comb/fig. to sort out
8613,树立,shù lì,to set up/to establish
8614,树木,shù mù,tree
8615,暑期,shǔ qī,summer vacation time
8616,输送,shū sòng,to transport/to convey/to deliver
8617,书写,shū xiě,to write
8618,输血,shū xuè,to transfuse blood/to give aid and support
8619,输液,shū yè,intravenous infusion; to get put on an IV
8620,梳子,shū zi,comb/CL:把[ba3]
8621,刷新,shuā xīn,to renovate/to refurbish/to refresh (computer window)/to write a new page (in history)/to break (a record)
8622,衰竭,shuāi jié,organ failure/exhaustion/prostration (medicine)
8623,衰老,shuāi lǎo,to age/to deteriorate with age/old and weak
8624,衰退,shuāi tuì,to decline/to fall/to drop/to falter/a decline/recession (in economics)
8628,爽快,shuǎng kuài,refreshed/rejuvenated/frank and straightforward
8629,双向,shuāng xiàng,bidirectional/two-way/interactive
8630,水槽,shuǐ cáo,sink
8631,睡袋,shuì dài,sleeping bag
8632,水壶,shuǐ hú,kettle/canteen/watering can
8635,税收,shuì shōu,taxation
8636,税务,shuì wù,taxation services/state revenue service
8637,水域,shuǐ yù,waters/body of water
8638,水源,shuǐ yuán,water source/water supply/headwaters of a river
8639,顺畅,shùn chàng,smooth and unhindered/fluent
8640,顺从,shùn cóng,obedient/to comply/to submit/to defer
8641,顺路,shùn lù,by the way/while out doing sth else/conveniently
8642,顺手,shùn shǒu,easily/without trouble/while one is at it/in passing/handy
8643,顺心,shùn xīn,happy/satisfactory
8644,说道,shuō dào,to discuss/reason (behind sth)
8647,丝绸,sī chóu,silk cloth/silk
8648,四季,sì jì,"four seasons, namely: spring 春[chun1], summer 夏[xia4], autumn 秋[qiu1] and winter 冬[dong1]"
8649,伺机,sì jī,to wait for an opportunity/to watch for one's chance
8650,私立,sī lì,"private (company, school etc)"
8651,寺庙,sì miào,temple/monastery/shrine
8652,思索,sī suǒ,to think deeply/to ponder
8653,死心,sǐ xīn,to give up/to admit failure/to drop the matter/to reconcile oneself to loss/to have no more illusions about
8654,私自,sī zì,private; personal/secretly; without explicit approval
8655,松绑,sōng bǎng,to untie/(fig.) to ease restrictions
8657,素材,sù cái,source material (in literature and art)
8658,素描,sù miáo,sketch
8659,诉说,sù shuō,to recount/to tell of/to relate/(fig.) (of a thing) to stand as testament to (some past history)
8661,算计,suàn jì,to reckon/to calculate/to plan/to expect/to scheme
8662,算账,suàn zhàng,(accounting) to balance the books; to do the accounts/(fig.) to settle an account; to get one's revenge
8665,索赔,suǒ péi,to ask for compensation/to claim damages/claim for damages
8666,索取,suǒ qǔ,to ask/to demand
8667,所属,suǒ shǔ,one's affiliation (i.e. the organization one is affiliated with)/subordinate (i.e. those subordinate to oneself)/belonging to/affiliated/under one's command
8668,台球,tái qiú,billiards
8669,太平,tài píng,peace and security
8674,瘫痪,tān huàn,"paralysis/be paralyzed (body, transportation, etc)"
8675,坦然,tǎn rán,calm/undisturbed
8676,贪污,tān wū,to be corrupt/corruption/to embezzle
8677,弹性,tán xìng,flexibility/elasticity
8680,掏钱,tāo qián,to pay/to spend money/to fork out
8681,陶瓷,táo cí,pottery and porcelain/ceramics
8682,陶醉,táo zuì,to be infatuated with; to be drunk with; to be enchanted with; to revel in
8683,特长,tè cháng,personal strength/one's special ability or strong points
8685,提拔,tí bá,to promote to a higher job/to select for promotion
8686,提炼,tí liàn,"to extract (ore, minerals etc)/to refine/to purify/to process"
8687,体谅,tǐ liàng,to empathize/to allow (for sth)/to show understanding/to appreciate
8688,体能,tǐ néng,physical capability/stamina
8690,体制,tǐ zhì,system/organization
8691,填充,tián chōng,to fill up; to stuff/to fill in a blank space
8692,天地,tiān dì,heaven and earth/world/scope/field of activity
8693,天鹅,tiān é,swan
8694,天桥,tiān qiáo,overhead walkway/pedestrian bridge
8695,添加,tiān jiā,to add; to increase
8696,甜头,tián tóu,"sweet taste (of power, success etc)/benefit"
8697,填写,tián xiě,to fill in a form/to write data in a box (on a questionnaire or web form)
8698,调料,tiáo liào,condiment/seasoning/flavoring
8699,挑剔,tiāo tī,picky/fussy
8700,挑衅,tiǎo xìn,to provoke/provocation
